"filename", "language", "JSON", "JavaScript", "Vue", "pip requirements", "Python", "Markdown", "HTML", "XML", "CSS", "comment", "blank", "total"
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Exercise\tests.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Exercise\urls.py", "Python", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Exercise\views.py", "Python", 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 19, 83
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\LifeCircle\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\LifeCircle\admin.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 6, 13
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\LifeCircle\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\LifeCircle\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 7, 24
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\LifeCircle\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\LifeCircle\models.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 4, 12
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\LifeCircle\tests.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\LifeCircle\views.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\admin.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 10, 23
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 7, 47
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\models.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 11, 35
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\tests.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\urls.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Plan\views.py", "Python", 0, 0, 0, 0, 118, 0, 0, 0, 0, 2, 25, 145
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\admin.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6, 12
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 7, 27
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\models.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 4, 12
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\tests.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\urls.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Restaurant\views.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 8, 32
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\admin.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6, 12
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 7, 25
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\migrations\0002_user_delete_student.py", "Python", 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 6, 37
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\migrations\0003_alter_user_u_id.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\migrations\0004_remove_user_u_avatar_alter_user_u_email_and_more.py", "Python", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 6, 39
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\migrations\0005_remove_user_u_id_user_id.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 6, 30
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\migrations\0006_user_u_avatar.py", "Python", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 6, 25
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\models.py", "Python", 0, 0, 0, 0, 54, 0, 0, 0, 0, 4, 24, 82
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\User\tests.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
